FullName,DirectoryName,Name,category,category_name,title,slug,price,compare_at_price,badge,ref_code,height_cm,width_cm,short_description,description,seo_title,seo_description,alt_text,image_filename,source_full_path,stock_qty,is_active,is_in_stock,material,colour_finish,specifications
C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-rs-1100-ref-10048g-h25-w18cm.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized,ceramic-tulsi-pot-rs-1100-ref-10048g-h25-w18cm.webp,Ceramic Tulsi Pot,Ceramic Tulsi Pot,Ceramic Tulsi Pot Ref 10048G,ceramic-tulsi-pot-ref-10048g,1100,1375,,10048G,25,18,"Handcrafted ceramic piece from Ram Pottery Mauritius, ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor.","Ceramic Tulsi Pot Ref 10048G is a refined handmade ceramic tulsi pot from Ram Pottery Mauritius, created to bring a graceful traditional touch to prayer areas, balconies and home gardens.

This piece is ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor. Each item carries the natural charm of handmade pottery, with small variations in tone, texture and finish that make every product unique. It is a beautiful choice for customers looking for authentic Mauritian craftsmanship, meaningful gifts, traditional pieces and elegant décor.

Specifications:
- Category: Ceramic Tulsi Pot
- Material: Ceramic
- Colour/finish: As shown in product image
- Reference code: 10048G
- Approximate size: H 25 cm × W/D 18 cm
- Price: Rs 1100
- Origin: Ram Pottery Mauritius
- Care: Handle with care; wipe gently with a soft cloth; avoid sudden impact or harsh cleaning chemicals.",Ceramic Tulsi Pot Ref 10048G | Handmade Pottery Mauritius,"Buy Ceramic Tulsi Pot Ref 10048G from Ram Pottery Mauritius. Handmade ceramic for ceramic tulsi pot, décor, gifting and traditional use. Ref 10048G. Rs 1100.",Ceramic Tulsi Pot Ref 10048G - Ceramic Tulsi Pot handmade by Ram Pottery Mauritius,ceramic-tulsi-pot-rs-1100-ref-10048g-h25-w18cm.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-rs-1100-ref-10048g-h25-w18cm.webp,1000,TRUE,TRUE,Ceramic,As shown in product image,Category: Ceramic Tulsi Pot | Material: Ceramic | Colour/finish: As shown in product image | Reference: 10048G | Size: H 25 cm × W/D 18 cm | Stock: 1000
C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-ref-10046s-rs-675-h-18cm-w-16cm.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized,ceramic-tulsi-pot-ref-10046s-rs-675-h-18cm-w-16cm.webp,Ceramic Tulsi Pot,Ceramic Tulsi Pot,Ceramic Tulsi Pot Ref 10046S,ceramic-tulsi-pot-ref-10046s,675,844,Best Deal,10046S,18,16,"Handcrafted ceramic piece from Ram Pottery Mauritius, ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor.","Ceramic Tulsi Pot Ref 10046S is a refined handmade ceramic tulsi pot from Ram Pottery Mauritius, created to bring a graceful traditional touch to prayer areas, balconies and home gardens.

This piece is ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor. Each item carries the natural charm of handmade pottery, with small variations in tone, texture and finish that make every product unique. It is a beautiful choice for customers looking for authentic Mauritian craftsmanship, meaningful gifts, traditional pieces and elegant décor.

Specifications:
- Category: Ceramic Tulsi Pot
- Material: Ceramic
- Colour/finish: As shown in product image
- Reference code: 10046S
- Approximate size: H 18 cm × W/D 16 cm
- Price: Rs 675
- Origin: Ram Pottery Mauritius
- Care: Handle with care; wipe gently with a soft cloth; avoid sudden impact or harsh cleaning chemicals.",Ceramic Tulsi Pot Ref 10046S | Handmade Pottery Mauritius,"Buy Ceramic Tulsi Pot Ref 10046S from Ram Pottery Mauritius. Handmade ceramic for ceramic tulsi pot, décor, gifting and traditional use. Ref 10046S. Rs 675.",Ceramic Tulsi Pot Ref 10046S - Ceramic Tulsi Pot handmade by Ram Pottery Mauritius,ceramic-tulsi-pot-ref-10046s-rs-675-h-18cm-w-16cm.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-ref-10046s-rs-675-h-18cm-w-16cm.webp,1000,TRUE,TRUE,Ceramic,As shown in product image,Category: Ceramic Tulsi Pot | Material: Ceramic | Colour/finish: As shown in product image | Reference: 10046S | Size: H 18 cm × W/D 16 cm | Stock: 1000
C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-ref-10049g-rs-1175-h26cm-w20cm.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized,ceramic-tulsi-pot-ref-10049g-rs-1175-h26cm-w20cm.webp,Ceramic Tulsi Pot,Ceramic Tulsi Pot,Ceramic Tulsi Pot Ref 10049G,ceramic-tulsi-pot-ref-10049g,1175,1469,,10049G,26,20,"Handcrafted ceramic piece from Ram Pottery Mauritius, ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor.","Ceramic Tulsi Pot Ref 10049G is a refined handmade ceramic tulsi pot from Ram Pottery Mauritius, created to bring a graceful traditional touch to prayer areas, balconies and home gardens.

This piece is ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor. Each item carries the natural charm of handmade pottery, with small variations in tone, texture and finish that make every product unique. It is a beautiful choice for customers looking for authentic Mauritian craftsmanship, meaningful gifts, traditional pieces and elegant décor.

Specifications:
- Category: Ceramic Tulsi Pot
- Material: Ceramic
- Colour/finish: As shown in product image
- Reference code: 10049G
- Approximate size: H 26 cm × W/D 20 cm
- Price: Rs 1175
- Origin: Ram Pottery Mauritius
- Care: Handle with care; wipe gently with a soft cloth; avoid sudden impact or harsh cleaning chemicals.",Ceramic Tulsi Pot Ref 10049G | Handmade Pottery Mauritius,"Buy Ceramic Tulsi Pot Ref 10049G from Ram Pottery Mauritius. Handmade ceramic for ceramic tulsi pot, décor, gifting and traditional use. Ref 10049G. Rs 1175.",Ceramic Tulsi Pot Ref 10049G - Ceramic Tulsi Pot handmade by Ram Pottery Mauritius,ceramic-tulsi-pot-ref-10049g-rs-1175-h26cm-w20cm.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-ref-10049g-rs-1175-h26cm-w20cm.webp,1000,TRUE,TRUE,Ceramic,As shown in product image,Category: Ceramic Tulsi Pot | Material: Ceramic | Colour/finish: As shown in product image | Reference: 10049G | Size: H 26 cm × W/D 20 cm | Stock: 1000
C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-ref-10052s-rs-2000-h32-w-26.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized,ceramic-tulsi-pot-ref-10052s-rs-2000-h32-w-26.webp,Ceramic Tulsi Pot,Ceramic Tulsi Pot,Ceramic Tulsi Pot Ref 10052S,ceramic-tulsi-pot-ref-10052s,2000,2500,Featured,10052S,32,26,"Handcrafted ceramic piece from Ram Pottery Mauritius, ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor.","Ceramic Tulsi Pot Ref 10052S is a refined handmade ceramic tulsi pot from Ram Pottery Mauritius, created to bring a graceful traditional touch to prayer areas, balconies and home gardens.

This piece is ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor. Each item carries the natural charm of handmade pottery, with small variations in tone, texture and finish that make every product unique. It is a beautiful choice for customers looking for authentic Mauritian craftsmanship, meaningful gifts, traditional pieces and elegant décor.

Specifications:
- Category: Ceramic Tulsi Pot
- Material: Ceramic
- Colour/finish: As shown in product image
- Reference code: 10052S
- Approximate size: H 32 cm × W/D 26 cm
- Price: Rs 2000
- Origin: Ram Pottery Mauritius
- Care: Handle with care; wipe gently with a soft cloth; avoid sudden impact or harsh cleaning chemicals.",Ceramic Tulsi Pot Ref 10052S | Handmade Pottery Mauritius,"Buy Ceramic Tulsi Pot Ref 10052S from Ram Pottery Mauritius. Handmade ceramic for ceramic tulsi pot, décor, gifting and traditional use. Ref 10052S. Rs 2000.",Ceramic Tulsi Pot Ref 10052S - Ceramic Tulsi Pot handmade by Ram Pottery Mauritius,ceramic-tulsi-pot-ref-10052s-rs-2000-h32-w-26.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-ref-10052s-rs-2000-h32-w-26.webp,1000,TRUE,TRUE,Ceramic,As shown in product image,Category: Ceramic Tulsi Pot | Material: Ceramic | Colour/finish: As shown in product image | Reference: 10052S | Size: H 32 cm × W/D 26 cm | Stock: 1000
C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-ref-10053-h38-w31-rs-2300.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized,ceramic-tulsi-pot-ref-10053-h38-w31-rs-2300.webp,Ceramic Tulsi Pot,Ceramic Tulsi Pot,Ceramic Tulsi Pot Ref 10053,ceramic-tulsi-pot-ref-10053,2300,2875,Featured,10053,38,31,"Handcrafted ceramic piece from Ram Pottery Mauritius, ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor.","Ceramic Tulsi Pot Ref 10053 is a refined handmade ceramic tulsi pot from Ram Pottery Mauritius, created to bring a graceful traditional touch to prayer areas, balconies and home gardens.

This piece is ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor. Each item carries the natural charm of handmade pottery, with small variations in tone, texture and finish that make every product unique. It is a beautiful choice for customers looking for authentic Mauritian craftsmanship, meaningful gifts, traditional pieces and elegant décor.

Specifications:
- Category: Ceramic Tulsi Pot
- Material: Ceramic
- Colour/finish: As shown in product image
- Reference code: 10053
- Approximate size: H 38 cm × W/D 31 cm
- Price: Rs 2300
- Origin: Ram Pottery Mauritius
- Care: Handle with care; wipe gently with a soft cloth; avoid sudden impact or harsh cleaning chemicals.",Ceramic Tulsi Pot Ref 10053 | Handmade Pottery Mauritius,"Buy Ceramic Tulsi Pot Ref 10053 from Ram Pottery Mauritius. Handmade ceramic for ceramic tulsi pot, décor, gifting and traditional use. Ref 10053. Rs 2300.",Ceramic Tulsi Pot Ref 10053 - Ceramic Tulsi Pot handmade by Ram Pottery Mauritius,ceramic-tulsi-pot-ref-10053-h38-w31-rs-2300.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-ref-10053-h38-w31-rs-2300.webp,1000,TRUE,TRUE,Ceramic,As shown in product image,Category: Ceramic Tulsi Pot | Material: Ceramic | Colour/finish: As shown in product image | Reference: 10053 | Size: H 38 cm × W/D 31 cm | Stock: 1000
C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-ref-10279g-rs-1925-h32-w-23.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized,ceramic-tulsi-pot-ref-10279g-rs-1925-h32-w-23.webp,Ceramic Tulsi Pot,Ceramic Tulsi Pot,Ceramic Tulsi Pot Ref 10279G,ceramic-tulsi-pot-ref-10279g,1925,2407,,10279G,32,23,"Handcrafted ceramic piece from Ram Pottery Mauritius, ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor.","Ceramic Tulsi Pot Ref 10279G is a refined handmade ceramic tulsi pot from Ram Pottery Mauritius, created to bring a graceful traditional touch to prayer areas, balconies and home gardens.

This piece is ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor. Each item carries the natural charm of handmade pottery, with small variations in tone, texture and finish that make every product unique. It is a beautiful choice for customers looking for authentic Mauritian craftsmanship, meaningful gifts, traditional pieces and elegant décor.

Specifications:
- Category: Ceramic Tulsi Pot
- Material: Ceramic
- Colour/finish: As shown in product image
- Reference code: 10279G
- Approximate size: H 32 cm × W/D 23 cm
- Price: Rs 1925
- Origin: Ram Pottery Mauritius
- Care: Handle with care; wipe gently with a soft cloth; avoid sudden impact or harsh cleaning chemicals.",Ceramic Tulsi Pot Ref 10279G | Handmade Pottery Mauritius,"Buy Ceramic Tulsi Pot Ref 10279G from Ram Pottery Mauritius. Handmade ceramic for ceramic tulsi pot, décor, gifting and traditional use. Ref 10279G. Rs 1925.",Ceramic Tulsi Pot Ref 10279G - Ceramic Tulsi Pot handmade by Ram Pottery Mauritius,ceramic-tulsi-pot-ref-10279g-rs-1925-h32-w-23.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-ref-10279g-rs-1925-h32-w-23.webp,1000,TRUE,TRUE,Ceramic,As shown in product image,Category: Ceramic Tulsi Pot | Material: Ceramic | Colour/finish: As shown in product image | Reference: 10279G | Size: H 32 cm × W/D 23 cm | Stock: 1000
C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-rs-2050-ref-10057g-h37-w-27.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized,ceramic-tulsi-pot-rs-2050-ref-10057g-h37-w-27.webp,Ceramic Tulsi Pot,Ceramic Tulsi Pot,Ceramic Tulsi Pot Ref 10057G,ceramic-tulsi-pot-ref-10057g,2050,2563,Featured,10057G,37,27,"Handcrafted ceramic piece from Ram Pottery Mauritius, ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor.","Ceramic Tulsi Pot Ref 10057G is a refined handmade ceramic tulsi pot from Ram Pottery Mauritius, created to bring a graceful traditional touch to prayer areas, balconies and home gardens.

This piece is ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor. Each item carries the natural charm of handmade pottery, with small variations in tone, texture and finish that make every product unique. It is a beautiful choice for customers looking for authentic Mauritian craftsmanship, meaningful gifts, traditional pieces and elegant décor.

Specifications:
- Category: Ceramic Tulsi Pot
- Material: Ceramic
- Colour/finish: As shown in product image
- Reference code: 10057G
- Approximate size: H 37 cm × W/D 27 cm
- Price: Rs 2050
- Origin: Ram Pottery Mauritius
- Care: Handle with care; wipe gently with a soft cloth; avoid sudden impact or harsh cleaning chemicals.",Ceramic Tulsi Pot Ref 10057G | Handmade Pottery Mauritius,"Buy Ceramic Tulsi Pot Ref 10057G from Ram Pottery Mauritius. Handmade ceramic for ceramic tulsi pot, décor, gifting and traditional use. Ref 10057G. Rs 2050.",Ceramic Tulsi Pot Ref 10057G - Ceramic Tulsi Pot handmade by Ram Pottery Mauritius,ceramic-tulsi-pot-rs-2050-ref-10057g-h37-w-27.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-rs-2050-ref-10057g-h37-w-27.webp,1000,TRUE,TRUE,Ceramic,As shown in product image,Category: Ceramic Tulsi Pot | Material: Ceramic | Colour/finish: As shown in product image | Reference: 10057G | Size: H 37 cm × W/D 27 cm | Stock: 1000
C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-rs-675-ref-10044g-h20-w16.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized,ceramic-tulsi-pot-rs-675-ref-10044g-h20-w16.webp,Ceramic Tulsi Pot,Ceramic Tulsi Pot,Ceramic Tulsi Pot Ref 10044G,ceramic-tulsi-pot-ref-10044g,675,844,Best Deal,10044G,20,16,"Handcrafted ceramic piece from Ram Pottery Mauritius, ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor.","Ceramic Tulsi Pot Ref 10044G is a refined handmade ceramic tulsi pot from Ram Pottery Mauritius, created to bring a graceful traditional touch to prayer areas, balconies and home gardens.

This piece is ideal for tulsi planting, prayer areas, balconies, courtyards and traditional home décor. Each item carries the natural charm of handmade pottery, with small variations in tone, texture and finish that make every product unique. It is a beautiful choice for customers looking for authentic Mauritian craftsmanship, meaningful gifts, traditional pieces and elegant décor.

Specifications:
- Category: Ceramic Tulsi Pot
- Material: Ceramic
- Colour/finish: As shown in product image
- Reference code: 10044G
- Approximate size: H 20 cm × W/D 16 cm
- Price: Rs 675
- Origin: Ram Pottery Mauritius
- Care: Handle with care; wipe gently with a soft cloth; avoid sudden impact or harsh cleaning chemicals.",Ceramic Tulsi Pot Ref 10044G | Handmade Pottery Mauritius,"Buy Ceramic Tulsi Pot Ref 10044G from Ram Pottery Mauritius. Handmade ceramic for ceramic tulsi pot, décor, gifting and traditional use. Ref 10044G. Rs 675.",Ceramic Tulsi Pot Ref 10044G - Ceramic Tulsi Pot handmade by Ram Pottery Mauritius,ceramic-tulsi-pot-rs-675-ref-10044g-h20-w16.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-tulsi-pot-rs-675-ref-10044g-h20-w16.webp,1000,TRUE,TRUE,Ceramic,As shown in product image,Category: Ceramic Tulsi Pot | Material: Ceramic | Colour/finish: As shown in product image | Reference: 10044G | Size: H 20 cm × W/D 16 cm | Stock: 1000
C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-flower-pot-h-20cm-d21cm-rs-650-material-ceramic-colour-blue.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized,ceramic-flower-pot-h-20cm-d21cm-rs-650-material-ceramic-colour-blue.webp,Ceramic Vase,Ceramic Vase,Ceramic Flower Pot,ceramic-flower-pot,650,813,Best Deal,,20,,"Handcrafted ceramic piece from Ram Pottery Mauritius, ideal for gardens, patios, balconies, hotel spaces and elegant indoor greenery.","Ceramic Flower Pot is an elegant handmade ceramic vase from Ram Pottery Mauritius, designed to elevate floral displays, reception areas and premium interior spaces.

This piece is ideal for gardens, patios, balconies, hotel spaces and elegant indoor greenery. Each item carries the natural charm of handmade pottery, with small variations in tone, texture and finish that make every product unique. It is a beautiful choice for customers looking for authentic Mauritian craftsmanship, meaningful gifts, traditional pieces and elegant décor.

Specifications:
- Category: Ceramic Vase
- Material: Ceramic
- Colour/finish: Blue
- Approximate size: H 20 cm
- Price: Rs 650
- Origin: Ram Pottery Mauritius
- Care: Handle with care; wipe gently with a soft cloth; avoid sudden impact or harsh cleaning chemicals.",Ceramic Flower Pot | Handmade Pottery Mauritius,"Buy Ceramic Flower Pot from Ram Pottery Mauritius. Handmade ceramic for ceramic vase, décor, gifting and traditional use. Rs 650.",Ceramic Flower Pot - Ceramic Vase handmade by Ram Pottery Mauritius,ceramic-flower-pot-h-20cm-d21cm-rs-650-material-ceramic-colour-blue.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-flower-pot-h-20cm-d21cm-rs-650-material-ceramic-colour-blue.webp,1000,TRUE,TRUE,Ceramic,Blue,Category: Ceramic Vase | Material: Ceramic | Colour/finish: Blue | Size: H 20 cm | Stock: 1000
C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-flower-pot-h-20cm-d21cm-rs-650-material-ceramic-colour-brown.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized,ceramic-flower-pot-h-20cm-d21cm-rs-650-material-ceramic-colour-brown.webp,Ceramic Vase,Ceramic Vase,Ceramic Flower Pot,ceramic-flower-pot-2,650,813,Best Deal,,20,,"Handcrafted ceramic piece from Ram Pottery Mauritius, ideal for gardens, patios, balconies, hotel spaces and elegant indoor greenery.","Ceramic Flower Pot is an elegant handmade ceramic vase from Ram Pottery Mauritius, designed to elevate floral displays, reception areas and premium interior spaces.

This piece is ideal for gardens, patios, balconies, hotel spaces and elegant indoor greenery. Each item carries the natural charm of handmade pottery, with small variations in tone, texture and finish that make every product unique. It is a beautiful choice for customers looking for authentic Mauritian craftsmanship, meaningful gifts, traditional pieces and elegant décor.

Specifications:
- Category: Ceramic Vase
- Material: Ceramic
- Colour/finish: Brown
- Approximate size: H 20 cm
- Price: Rs 650
- Origin: Ram Pottery Mauritius
- Care: Handle with care; wipe gently with a soft cloth; avoid sudden impact or harsh cleaning chemicals.",Ceramic Flower Pot | Handmade Pottery Mauritius,"Buy Ceramic Flower Pot from Ram Pottery Mauritius. Handmade ceramic for ceramic vase, décor, gifting and traditional use. Rs 650.",Ceramic Flower Pot - Ceramic Vase handmade by Ram Pottery Mauritius,ceramic-flower-pot-h-20cm-d21cm-rs-650-material-ceramic-colour-brown.webp,C:\Dev\ram-potteey-ecom\public\product-images-optimized\ceramic-flower-pot-h-20cm-d21cm-rs-650-material-ceramic-colour-brown.webp,1000,TRUE,TRUE,Ceramic,Brown,Category: Ceramic Vase | Material: Ceramic | Colour/finish: Brown | Size: H 20 cm | Stock: 1000
